feature,importance,std,rank
TSLA_SMA_20,0.05060000000000005,0.008991106717195618,1
GOOGL_MACD,0.02220000000000002,0.006600000000000006,2
TSLA_MACD,0.019600000000000017,0.004800000000000005,3
AAPL_Return_1d,0.014400000000000013,0.004363484845854289,4
AAPL_Volatility_20,0.013400000000000013,0.01590094336824078,5
AAPL_MACD,0.01080000000000001,0.005306599664568644,6
^VIX_MACD_signal,0.008000000000000007,0.004647580015448904,7
MSFT_MACD,0.007400000000000006,0.004820788317277585,8
GOOGL_Return_1d,0.006800000000000006,0.003709447398198285,9
AAPL_SMA_20,0.006800000000000006,0.007652450587883604,10
AMZN_Return_5d,0.005600000000000005,0.006118823416311347,11
AMZN_Return_10d,0.005600000000000005,0.007787168933572721,12
AMZN_MACD,0.0040000000000000036,0.007641989269817126,13
^VIX_SMA_20,0.0032000000000000028,0.0042142615011410995,14
TSLA_Return_1d,0.0028000000000000026,0.004578209256903843,15
^VIX_Volatility_20,0.0014000000000000013,0.004651881339845208,16
^VIX_BB_lower,0.0010000000000000009,0.007224956747275384,17
^VIX_Return_5d,-0.0040000000000000036,0.0053665631459995,18
AMZN_RSI_14,-0.006800000000000006,0.007222188034107121,19
MSFT_RSI_14,-0.007000000000000006,0.007224956747275384,20
