feature,importance,rank
TSLA_SMA_20,0.14346200073326182,1
^VIX_SMA_20,0.13598053476088195,2
^VIX_MACD_signal,0.1325107965121272,3
GOOGL_MACD,0.12778790214495733,4
MSFT_MACD,0.055867566794698974,5
^VIX_BB_lower,0.05468431804935233,6
MSFT_RSI_14,0.04913835210956465,7
^VIX_Return_5d,0.04887788751615771,8
AMZN_Return_10d,0.03668879131942063,9
AMZN_Return_5d,0.034955384103323224,10
AAPL_MACD,0.031245063523208695,11
^VIX_Volatility_20,0.025817006346389688,12
AAPL_Return_1d,0.019766603865173437,13
AAPL_SMA_20,0.019206623422369395,14
AMZN_MACD,0.018703514937052017,15
TSLA_MACD,0.015246411589523733,16
AAPL_Volatility_20,0.013494243821096825,17
TSLA_Return_1d,0.013408955818302624,18
AMZN_RSI_14,0.0123078131277638,19
GOOGL_Return_1d,0.010850229505374157,20
